order_item_id,order_id,product_id,quantity,unit_price,discount,revenue,profit,shipping_cost
ITEM0000038,ORD000026,PROD00189,1,15145.73,0.1,13631.16,1541.61,20.0
ITEM0000039,ORD000026,PROD00344,1,1638.54,0.1,1474.69,485.97,20.0
ITEM0000040,ORD000027,PROD00044,1,19123.99,0.0,19123.99,5804.09,45.0
ITEM0000041,ORD000027,PROD00212,1,812.27,0.1,731.04,144.87,45.0
ITEM0000042,ORD000028,PROD00231,1,1812.45,0.05,1721.83,529.21,40.0
ITEM0000043,ORD000029,PROD00039,1,47576.64,0.0,47576.64,10482.55,10.0
ITEM0000044,ORD000029,PROD00264,4,3458.29,0.0,13833.16,6227.64,10.0
ITEM0000045,ORD000029,PROD00139,1,51445.48,0.2,41156.38,4037.76,10.0
ITEM0000046,ORD000029,PROD00179,3,7686.31,0.0,23058.93,7622.3,10.0
ITEM0000047,ORD000030,PROD00462,1,360.38,0.0,360.38,116.12,20.0
ITEM0000048,ORD000030,PROD00343,2,1569.09,0.0,3138.18,1310.52,20.0
ITEM0000049,ORD000031,PROD00293,1,2411.62,0.0,2411.62,1025.35,45.0
ITEM0000050,ORD000031,PROD00177,1,21581.22,0.0,21581.22,7067.81,45.0
ITEM0000051,ORD000032,PROD00491,1,1234.63,0.3,864.24,68.51,45.0
ITEM0000052,ORD000032,PROD00389,1,1678.1,0.1,1510.29,499.35,45.0
ITEM0000053,ORD000033,PROD00138,1,15988.37,0.0,15988.37,2995.38,45.0
ITEM0000054,ORD000033,PROD00206,1,6103.12,0.1,5492.81,732.66,45.0
ITEM0000055,ORD000034,PROD00419,1,1514.44,0.05,1438.72,544.36,40.0
ITEM0000056,ORD000035,PROD00455,1,2481.44,0.15,2109.22,802.49,45.0
ITEM0000057,ORD000035,PROD00013,2,34227.34,0.0,68454.68,12109.38,45.0
ITEM0000058,ORD000036,PROD00260,4,2793.53,0.0,11174.12,4414.0,40.0
ITEM0000059,ORD000037,PROD00330,2,21121.02,0.05,40129.94,10202.8,40.0
ITEM0000060,ORD000038,PROD00295,1,3325.09,0.0,3325.09,868.72,20.0
ITEM0000061,ORD000038,PROD00463,1,803.34,0.15,682.84,172.93,20.0
ITEM0000062,ORD000039,PROD00456,1,4243.35,0.2,3394.68,1271.06,40.0
ITEM0000063,ORD000040,PROD00355,1,1032.15,0.0,1032.15,319.36,20.0
ITEM0000064,ORD000040,PROD00121,1,16757.21,0.0,16757.21,3556.26,20.0
ITEM0000065,ORD000041,PROD00358,2,973.6,0.0,1947.2,484.48,40.0
ITEM0000066,ORD000042,PROD00090,4,24601.35,0.1,88564.86,8374.34,40.0
ITEM0000067,ORD000043,PROD00224,1,3233.95,0.0,3233.95,1461.5,20.0
ITEM0000068,ORD000043,PROD00340,2,366.92,0.1,660.46,231.7,20.0
ITEM0000069,ORD000044,PROD00205,2,9179.19,0.05,17440.46,5389.68,20.0
ITEM0000070,ORD000044,PROD00005,1,11365.41,0.15,9660.6,1732.38,20.0
ITEM0000071,ORD000045,PROD00185,1,4100.9,0.1,3690.81,803.07,37.5
ITEM0000072,ORD000045,PROD00372,1,1223.95,0.0,1223.95,247.42,37.5
ITEM0000073,ORD000045,PROD00488,1,1153.19,0.0,1153.19,382.66,37.5
ITEM0000074,ORD000045,PROD00321,1,16738.38,0.15,14227.62,1097.18,37.5
ITEM0000075,ORD000046,PROD00025,5,3914.89,0.0,19574.45,5833.85,40.0
ITEM0000076,ORD000047,PROD00217,2,2939.6,0.0,5879.2,2379.7,40.0
ITEM0000077,ORD000048,PROD00133,1,23672.74,0.1,21305.47,3400.86,90.0
ITEM0000078,ORD000049,PROD00346,1,141.91,0.0,141.91,21.92,40.0
ITEM0000079,ORD000050,PROD00045,1,16213.88,0.1,14592.49,635.51,40.0
ITEM0000080,ORD000051,PROD00321,1,16738.38,0.2,13390.7,257.76,40.0
ITEM0000081,ORD000052,PROD00327,1,3821.41,0.05,3630.34,895.03,20.0
ITEM0000082,ORD000052,PROD00174,1,15044.91,0.0,15044.91,4461.03,20.0
ITEM0000083,ORD000053,PROD00178,1,16666.65,0.15,14166.65,1199.95,20.0
ITEM0000084,ORD000053,PROD00280,4,966.42,0.05,3672.4,1832.52,20.0
ITEM0000085,ORD000054,PROD00461,1,2977.87,0.05,2828.98,1199.82,20.0
ITEM0000086,ORD000054,PROD00370,2,1067.76,0.15,1815.19,256.35,20.0
ITEM0000087,ORD000055,PROD00286,1,1384.93,0.0,1384.93,400.14,20.0
ITEM0000088,ORD000055,PROD00294,2,718.03,0.0,1436.06,653.0,20.0
ITEM0000089,ORD000056,PROD00302,3,10071.32,0.0,30213.96,8303.87,13.33
ITEM0000090,ORD000056,PROD00167,2,20082.14,0.0,40164.28,5942.21,13.33
ITEM0000091,ORD000056,PROD00193,1,13023.7,0.0,13023.7,2921.02,13.33
ITEM0000092,ORD000057,PROD00318,1,2774.61,0.0,2774.61,630.57,40.0
ITEM0000093,ORD000058,PROD00317,1,8266.31,0.0,8266.31,2709.06,40.0
ITEM0000094,ORD000059,PROD00062,1,19469.43,0.0,19469.43,5735.61,20.0
ITEM0000095,ORD000059,PROD00156,1,23031.83,0.0,23031.83,5223.2,20.0
ITEM0000096,ORD000060,PROD00285,1,566.1,0.25,424.58,46.69,22.5
ITEM0000097,ORD000060,PROD00014,1,4007.49,0.0,4007.49,765.18,22.5
ITEM0000098,ORD000060,PROD00239,3,2458.87,0.0,7376.61,3959.4,22.5
ITEM0000099,ORD000060,PROD00474,1,518.07,0.0,518.07,196.33,22.5
ITEM0000100,ORD000061,PROD00090,1,24601.35,0.0,24601.35,4473.72,90.0
ITEM0000101,ORD000062,PROD00436,1,3524.68,0.0,3524.68,1509.19,13.33
ITEM0000102,ORD000062,PROD00375,3,675.02,0.0,2025.06,706.28,13.33
ITEM0000103,ORD000062,PROD00162,3,18203.68,0.0,54611.04,12325.61,13.33
ITEM0000104,ORD000063,PROD00015,1,43929.89,0.2,35143.91,-248.06,90.0
ITEM0000105,ORD000064,PROD00206,1,6103.12,0.0,6103.12,1342.97,45.0
ITEM0000106,ORD000064,PROD00407,4,1081.64,0.15,3677.58,1141.46,45.0
ITEM0000107,ORD000065,PROD00356,5,159.92,0.25,599.7,109.9,40.0
ITEM0000108,ORD000066,PROD00131,4,27370.27,0.0,109481.08,26722.27,13.33
ITEM0000109,ORD000066,PROD00063,1,13558.54,0.0,13558.54,2063.08,13.33
ITEM0000110,ORD000066,PROD00153,1,9537.29,0.05,9060.43,2432.91,13.33
ITEM0000111,ORD000067,PROD00340,1,366.92,0.0,366.92,122.54,40.0
ITEM0000112,ORD000068,PROD00158,2,40809.24,0.0,81618.48,17533.02,45.0
ITEM0000113,ORD000068,PROD00242,1,1435.76,0.0,1435.76,681.14,45.0
ITEM0000114,ORD000069,PROD00383,1,1249.25,0.0,1249.25,385.99,45.0
ITEM0000115,ORD000069,PROD00034,1,14512.98,0.0,14512.98,3234.08,45.0
ITEM0000116,ORD000070,PROD00045,1,16213.88,0.0,16213.88,2251.9,45.0
ITEM0000117,ORD000070,PROD00258,1,748.13,0.0,748.13,315.68,45.0
ITEM0000118,ORD000071,PROD00099,1,48392.65,0.0,48392.65,14363.43,90.0
ITEM0000119,ORD000072,PROD00347,1,478.76,0.0,478.76,110.75,20.0
ITEM0000120,ORD000072,PROD00028,1,29372.26,0.0,29372.26,7300.66,20.0
ITEM0000121,ORD000073,PROD00417,1,1101.36,0.0,1101.36,315.23,40.0
ITEM0000122,ORD000074,PROD00494,1,525.58,0.05,499.3,175.32,20.0
ITEM0000123,ORD000074,PROD00271,1,3328.57,0.0,3328.57,1472.35,20.0
ITEM0000124,ORD000075,PROD00484,1,133.3,0.05,126.64,27.32,20.0
ITEM0000125,ORD000075,PROD00257,1,2535.36,0.15,2155.06,651.74,20.0
ITEM0000126,ORD000076,PROD00227,2,2359.44,0.1,4246.99,844.39,90.0
ITEM0000127,ORD000077,PROD00339,1,776.14,0.1,698.53,174.39,40.0
ITEM0000128,ORD000078,PROD00073,3,24252.22,0.0,72756.66,17006.09,40.0
ITEM0000129,ORD000079,PROD00007,1,32265.69,0.0,32265.69,9799.02,90.0
ITEM0000130,ORD000080,PROD00126,1,15051.67,0.05,14299.09,1505.14,40.0
ITEM0000131,ORD000081,PROD00213,4,2081.36,0.0,8325.44,4493.72,40.0
ITEM0000132,ORD000082,PROD00268,1,1255.41,0.05,1192.64,526.4,20.0
ITEM0000133,ORD000082,PROD00345,1,342.25,0.0,342.25,110.26,20.0
ITEM0000134,ORD000083,PROD00293,1,2411.62,0.25,1808.71,422.44,45.0
ITEM0000135,ORD000083,PROD00476,4,1360.5,0.05,5169.9,1832.7,45.0
ITEM0000136,ORD000084,PROD00104,1,42635.5,0.0,42635.5,10908.64,40.0
ITEM0000137,ORD000085,PROD00022,1,54030.86,0.0,54030.86,15745.85,40.0
ITEM0000138,ORD000086,PROD00495,2,1721.15,0.0,3442.3,1443.25,13.33
ITEM0000139,ORD000086,PROD00008,1,44764.33,0.0,44764.33,11233.62,13.33
ITEM0000140,ORD000086,PROD00206,1,6103.12,0.0,6103.12,1374.64,13.33
ITEM0000141,ORD000087,PROD00084,2,12758.14,0.1,22964.65,4097.57,90.0
ITEM0000142,ORD000088,PROD00487,3,1345.96,0.0,4037.88,1668.8,10.0
ITEM0000143,ORD000088,PROD00439,2,3503.11,0.0,7006.22,3322.5,10.0
ITEM0000144,ORD000088,PROD00028,1,29372.26,0.0,29372.26,7310.66,10.0
ITEM0000145,ORD000088,PROD00086,2,44236.47,0.0,88472.94,23350.6,10.0
ITEM0000146,ORD000089,PROD00204,1,13096.96,0.0,13096.96,4503.94,30.0
ITEM0000147,ORD000089,PROD00086,1,44236.47,0.05,42024.65,9438.48,30.0
ITEM0000148,ORD000089,PROD00310,1,3563.7,0.0,3563.7,834.63,30.0
ITEM0000149,ORD000090,PROD00213,4,2081.36,0.15,7076.62,3274.9,10.0
ITEM0000150,ORD000090,PROD00454,2,1449.55,0.0,2899.1,1570.02,10.0
ITEM0000151,ORD000090,PROD00444,3,1602.7,0.0,4808.1,1522.28,10.0
ITEM0000152,ORD000090,PROD00142,2,38308.63,0.0,76617.26,20267.74,10.0
ITEM0000153,ORD000091,PROD00222,1,2719.94,0.0,2719.94,1390.9,20.0
ITEM0000154,ORD000091,PROD00317,3,8266.31,0.0,24798.93,8227.18,20.0
ITEM0000155,ORD000092,PROD00323,1,18272.69,0.15,15531.79,3176.16,90.0
ITEM0000156,ORD000093,PROD00155,2,31834.2,0.05,60484.98,7239.04,20.0
ITEM0000157,ORD000093,PROD00226,1,4077.99,0.1,3670.19,1449.51,20.0
ITEM0000158,ORD000094,PROD00090,1,24601.35,0.0,24601.35,4543.72,20.0
ITEM0000159,ORD000094,PROD00501,2,1228.97,0.2,1966.35,521.51,20.0
ITEM0000160,ORD000095,PROD00249,1,1473.17,0.05,1399.51,350.04,40.0
ITEM0000161,ORD000096,PROD00203,1,4798.48,0.05,4558.56,1479.47,13.33
ITEM0000162,ORD000096,PROD00256,4,1837.45,0.1,6614.82,2688.53,13.33
ITEM0000163,ORD000096,PROD00140,1,12595.4,0.0,12595.4,2039.31,13.33
ITEM0000164,ORD000097,PROD00424,1,2239.58,0.0,2239.58,813.49,20.0
ITEM0000165,ORD000097,PROD00166,1,6705.58,0.2,5364.46,500.99,20.0
ITEM0000166,ORD000098,PROD00309,1,16347.01,0.0,16347.01,5393.12,20.0
ITEM0000167,ORD000098,PROD00325,3,12905.15,0.0,38715.45,10215.73,20.0
ITEM0000168,ORD000099,PROD00367,1,875.79,0.2,700.63,121.16,13.33
ITEM0000169,ORD000099,PROD00274,1,2151.97,0.0,2151.97,784.02,13.33
ITEM0000170,ORD000099,PROD00126,2,15051.67,0.15,25587.84,66.61,13.33
ITEM0000171,ORD000100,PROD00323,1,18272.69,0.0,18272.69,5987.06,20.0
ITEM0000172,ORD000100,PROD00355,1,1032.15,0.05,980.54,267.75,20.0
ITEM0000173,ORD000101,PROD00174,1,15044.91,0.1,13540.42,2936.54,40.0
ITEM0000174,ORD000102,PROD00209,1,20317.79,0.2,16254.23,2491.71,40.0
ITEM0000175,ORD000103,PROD00176,2,11039.15,0.0,22078.3,4733.56,40.0
ITEM0000176,ORD000104,PROD00469,1,319.35,0.05,303.38,11.25,90.0
ITEM0000177,ORD000105,PROD00202,1,15489.45,0.0,15489.45,3757.25,20.0
ITEM0000178,ORD000105,PROD00399,2,377.05,0.0,754.1,214.12,20.0
ITEM0000179,ORD000106,PROD00478,1,554.63,0.1,499.17,54.53,40.0
ITEM0000180,ORD000107,PROD00329,1,8109.18,0.05,7703.72,2099.62,20.0
ITEM0000181,ORD000107,PROD00056,1,9761.43,0.05,9273.36,1346.34,20.0
ITEM0000182,ORD000108,PROD00305,1,17731.75,0.0,17731.75,5837.25,45.0
ITEM0000183,ORD000108,PROD00037,2,20977.52,0.2,33564.03,3732.03,45.0
ITEM0000184,ORD000109,PROD00397,1,479.03,0.0,479.03,186.58,20.0
ITEM0000185,ORD000109,PROD00434,1,566.02,0.0,566.02,222.52,20.0
ITEM0000186,ORD000110,PROD00165,1,42254.8,0.0,42254.8,5613.02,45.0
ITEM0000187,ORD000110,PROD00408,1,894.42,0.05,849.7,223.79,45.0
ITEM0000188,ORD000111,PROD00341,1,1310.69,0.0,1310.69,433.82,40.0
ITEM0000189,ORD000112,PROD00476,1,1360.5,0.0,1360.5,524.12,13.33
ITEM0000190,ORD000112,PROD00493,5,497.54,0.0,2487.7,889.22,13.33
ITEM0000191,ORD000112,PROD00492,1,1357.91,0.0,1357.91,548.97,13.33
ITEM0000192,ORD000113,PROD00448,1,965.27,0.0,965.27,165.51,150.0
ITEM0000193,ORD000114,PROD00221,1,1362.22,0.15,1157.89,199.26,40.0
ITEM0000194,ORD000115,PROD00312,2,17032.2,0.0,34064.4,7265.5,40.0
ITEM0000195,ORD000116,PROD00024,1,10765.16,0.0,10765.16,2943.94,13.33
ITEM0000196,ORD000116,PROD00282,4,2344.19,0.05,8907.92,2844.47,13.33
ITEM0000197,ORD000116,PROD00186,1,16918.9,0.0,16918.9,4278.95,13.33
ITEM0000198,ORD000117,PROD00196,3,17427.75,0.0,52283.25,18721.08,45.0
ITEM0000199,ORD000117,PROD00199,1,8365.87,0.0,8365.87,2299.44,45.0
ITEM0000200,ORD000118,PROD00044,1,19123.99,0.1,17211.59,3896.69,40.0
ITEM0000201,ORD000119,PROD00283,1,4391.48,0.0,4391.48,1908.65,90.0
ITEM0000202,ORD000120,PROD00453,2,2186.5,0.0,4373.0,2223.14,20.0
ITEM0000203,ORD000120,PROD00388,4,837.27,0.2,2679.26,754.82,20.0
ITEM0000204,ORD000121,PROD00207,1,2658.77,0.15,2259.95,280.14,90.0
ITEM0000205,ORD000122,PROD00244,1,2557.36,0.1,2301.62,567.1,50.0
ITEM0000206,ORD000122,PROD00064,1,11250.27,0.0,11250.27,3327.24,50.0
ITEM0000207,ORD000122,PROD00245,1,911.93,0.25,683.95,34.9,50.0
ITEM0000208,ORD000123,PROD00444,2,1602.7,0.0,3205.4,931.52,90.0
ITEM0000209,ORD000124,PROD00062,3,19469.43,0.05,55487.88,14326.42,20.0
ITEM0000210,ORD000124,PROD00198,1,22168.57,0.0,22168.57,7840.8,20.0
ITEM0000211,ORD000125,PROD00118,1,16779.37,0.0,16779.37,4002.35,150.0
ITEM0000212,ORD000126,PROD00122,1,21086.65,0.0,21086.65,5043.87,20.0
ITEM0000213,ORD000126,PROD00165,2,42254.8,0.0,84509.6,11296.04,20.0
ITEM0000214,ORD000127,PROD00232,3,883.96,0.0,2651.88,1136.73,150.0
ITEM0000215,ORD000128,PROD00022,1,54030.86,0.0,54030.86,15765.85,20.0
ITEM0000216,ORD000128,PROD00089,1,25904.39,0.0,25904.39,7668.24,20.0
ITEM0000217,ORD000129,PROD00261,1,3147.52,0.0,3147.52,1385.47,20.0
ITEM0000218,ORD000129,PROD00380,1,196.49,0.25,147.37,3.17,20.0
ITEM0000219,ORD000130,PROD00343,1,1569.09,0.2,1255.27,331.44,20.0
ITEM0000220,ORD000130,PROD00250,1,1708.04,0.0,1708.04,639.94,20.0
ITEM0000221,ORD000131,PROD00189,1,15145.73,0.0,15145.73,2986.18,90.0
ITEM0000222,ORD000132,PROD00366,1,1098.49,0.0,1098.49,435.85,40.0
ITEM0000223,ORD000133,PROD00082,3,12746.23,0.05,36326.76,4677.71,40.0
ITEM0000224,ORD000134,PROD00468,1,958.24,0.05,910.33,194.55,22.5
ITEM0000225,ORD000134,PROD00381,2,816.8,0.0,1633.6,422.96,22.5
ITEM0000226,ORD000134,PROD00265,1,1631.46,0.0,1631.46,542.5,22.5
ITEM0000227,ORD000134,PROD00232,1,883.96,0.0,883.96,406.41,22.5
ITEM0000228,ORD000135,PROD00120,1,14392.16,0.0,14392.16,3214.85,45.0
ITEM0000229,ORD000135,PROD00273,1,4380.69,0.0,4380.69,2257.27,45.0
ITEM0000230,ORD000136,PROD00387,5,448.6,0.0,2243.0,609.3,20.0
ITEM0000231,ORD000136,PROD00399,1,377.05,0.0,377.05,97.06,20.0
ITEM0000232,ORD000137,PROD00377,1,1218.74,0.0,1218.74,445.06,13.33
ITEM0000233,ORD000137,PROD00314,1,2880.22,0.2,2304.18,252.54,13.33
ITEM0000234,ORD000137,PROD00415,1,541.4,0.0,541.4,164.7,13.33
ITEM0000235,ORD000138,PROD00296,1,14453.44,0.0,14453.44,3366.16,40.0
ITEM0000236,ORD000139,PROD00285,2,566.1,0.1,1018.98,288.2,20.0
ITEM0000237,ORD000139,PROD00066,1,37743.4,0.0,37743.4,5803.17,20.0
ITEM0000238,ORD000140,PROD00315,1,14016.31,0.2,11213.05,1939.05,45.0
ITEM0000239,ORD000140,PROD00354,1,1029.35,0.0,1029.35,401.89,45.0
ITEM0000240,ORD000141,PROD00326,2,16661.34,0.0,33322.68,9874.06,150.0
ITEM0000241,ORD000142,PROD00122,1,21086.65,0.0,21086.65,5023.87,40.0
ITEM0000242,ORD000143,PROD00482,1,306.87,0.0,306.87,113.83,13.33
ITEM0000243,ORD000143,PROD00276,1,1774.51,0.0,1774.51,901.36,13.33
ITEM0000244,ORD000143,PROD00155,2,31834.2,0.0,63668.4,10429.13,13.33
ITEM0000245,ORD000144,PROD00149,1,6553.03,0.0,6553.03,1169.26,37.5
ITEM0000246,ORD000144,PROD00285,1,566.1,0.3,396.27,3.38,37.5
ITEM0000247,ORD000144,PROD00152,1,14447.83,0.3,10113.48,-2072.16,37.5
ITEM0000248,ORD000144,PROD00488,1,1153.19,0.05,1095.53,325.0,37.5
ITEM0000249,ORD000145,PROD00232,1,883.96,0.0,883.96,415.58,13.33
ITEM0000250,ORD000145,PROD00383,1,1249.25,0.0,1249.25,417.66,13.33
ITEM0000251,ORD000145,PROD00447,1,3378.02,0.0,3378.02,1364.56,13.33
ITEM0000252,ORD000146,PROD00214,2,2355.83,0.0,4711.66,1506.7,20.0
ITEM0000253,ORD000146,PROD00079,1,42435.92,0.05,40314.12,8435.28,20.0
ITEM0000254,ORD000147,PROD00333,1,18015.18,0.05,17114.42,4214.01,40.0
ITEM0000255,ORD000148,PROD00007,1,32265.69,0.0,32265.69,9849.02,40.0
ITEM0000256,ORD000149,PROD00110,1,18242.23,0.0,18242.23,4632.09,150.0
ITEM0000257,ORD000150,PROD00447,1,3378.02,0.0,3378.02,1357.89,20.0
ITEM0000258,ORD000150,PROD00028,1,29372.26,0.1,26435.03,4363.43,20.0
ITEM0000259,ORD000151,PROD00278,1,4458.32,0.15,3789.57,1387.05,40.0
ITEM0000260,ORD000152,PROD00186,2,16918.9,0.2,27070.24,1777.0,40.0
ITEM0000261,ORD000153,PROD00080,1,36068.75,0.0,36068.75,8374.92,20.0
ITEM0000262,ORD000153,PROD00212,3,812.27,0.15,2071.29,427.78,20.0
ITEM0000263,ORD000154,PROD00374,1,942.57,0.0,942.57,194.44,40.0
ITEM0000264,ORD000155,PROD00504,1,1108.11,0.0,1108.11,423.24,40.0
ITEM0000265,ORD000156,PROD00278,1,4458.32,0.1,4012.49,1609.97,40.0
ITEM0000266,ORD000157,PROD00473,2,1224.01,0.1,2203.22,426.46,20.0
ITEM0000267,ORD000157,PROD00073,2,24252.22,0.0,48504.44,11344.06,20.0
ITEM0000268,ORD000158,PROD00353,1,455.56,0.0,455.56,111.01,20.0
ITEM0000269,ORD000158,PROD00027,2,26418.44,0.0,52836.88,8331.22,20.0
ITEM0000270,ORD000159,PROD00017,1,20884.0,0.0,20884.0,3666.78,40.0
ITEM0000271,ORD000160,PROD00412,1,831.89,0.0,831.89,264.71,30.0
ITEM0000272,ORD000160,PROD00458,1,2315.73,0.05,2199.94,937.09,30.0
ITEM0000273,ORD000160,PROD00334,2,2070.99,0.15,3520.68,223.9,30.0
ITEM0000274,ORD000161,PROD00359,1,1285.57,0.0,1285.57,335.65,40.0
ITEM0000275,ORD000162,PROD00325,1,12905.15,0.05,12259.89,2736.65,30.0
ITEM0000276,ORD000162,PROD00336,2,4238.14,0.1,7628.65,2271.95,30.0
ITEM0000277,ORD000162,PROD00297,2,17534.9,0.05,33316.31,10935.51,30.0
ITEM0000278,ORD000163,PROD00196,1,17427.75,0.0,17427.75,6235.36,20.0
ITEM0000279,ORD000163,PROD00186,1,16918.9,0.0,16918.9,4272.28,20.0
ITEM0000280,ORD000164,PROD00055,1,44849.24,0.0,44849.24,7129.9,40.0
ITEM0000281,ORD000165,PROD00358,1,973.6,0.2,778.88,47.52,20.0
ITEM0000282,ORD000165,PROD00366,1,1098.49,0.0,1098.49,455.85,20.0
ITEM0000283,ORD000166,PROD00463,1,803.34,0.0,803.34,273.43,40.0
ITEM0000284,ORD000167,PROD00503,2,300.47,0.1,540.85,152.73,40.0
ITEM0000285,ORD000168,PROD00081,2,36368.49,0.0,72736.98,18244.08,40.0
ITEM0000286,ORD000169,PROD00214,1,2355.83,0.15,2002.46,396.65,13.33
ITEM0000287,ORD000169,PROD00185,1,4100.9,0.0,4100.9,1237.33,13.33
ITEM0000288,ORD000169,PROD00170,3,9088.29,0.0,27264.87,6024.74,13.33
ITEM0000289,ORD000170,PROD00455,1,2481.44,0.0,2481.44,1199.71,20.0
ITEM0000290,ORD000170,PROD00121,1,16757.21,0.15,14243.63,1042.68,20.0
ITEM0000291,ORD000171,PROD00404,4,666.71,0.0,2666.84,878.68,20.0
ITEM0000292,ORD000171,PROD00443,1,2614.61,0.0,2614.61,1019.11,20.0
ITEM0000293,ORD000172,PROD00067,1,42546.02,0.0,42546.02,9505.73,10.0
ITEM0000294,ORD000172,PROD00447,2,3378.02,0.0,6756.04,2745.78,10.0
ITEM0000295,ORD000172,PROD00296,1,14453.44,0.0,14453.44,3396.16,10.0
ITEM0000296,ORD000172,PROD00208,1,9728.33,0.0,9728.33,2390.25,10.0
ITEM0000297,ORD000173,PROD00211,2,2824.85,0.0,5649.7,2984.46,10.0
ITEM0000298,ORD000173,PROD00156,1,23031.83,0.15,19577.06,1778.43,10.0
ITEM0000299,ORD000173,PROD00060,1,21042.87,0.0,21042.87,2780.77,10.0
ITEM0000300,ORD000173,PROD00279,2,1283.81,0.0,2567.62,772.32,10.0
ITEM0000301,ORD000174,PROD00141,1,10317.25,0.0,10317.25,1972.18,40.0
ITEM0000302,ORD000175,PROD00175,1,14010.68,0.0,14010.68,3930.02,150.0
ITEM0000303,ORD000176,PROD00229,1,570.2,0.0,570.2,134.8,40.0
ITEM0000304,ORD000177,PROD00244,1,2557.36,0.05,2429.49,704.97,40.0
ITEM0000305,ORD000178,PROD00471,1,885.91,0.0,885.91,239.18,13.33
ITEM0000306,ORD000178,PROD00234,2,1401.52,0.0,2803.04,1003.19,13.33
ITEM0000307,ORD000178,PROD00055,3,44849.24,0.1,121092.95,8041.6,13.33
ITEM0000308,ORD000179,PROD00149,2,6553.03,0.1,11795.45,1082.91,20.0
ITEM0000309,ORD000179,PROD00103,3,3589.9,0.0,10769.7,2540.02,20.0
ITEM0000310,ORD000180,PROD00161,1,12462.67,0.1,11216.4,1957.61,90.0
ITEM0000311,ORD000181,PROD00105,3,3317.44,0.0,9952.32,1589.0,40.0
ITEM0000312,ORD000182,PROD00178,2,16666.65,0.0,33333.3,7289.9,150.0
ITEM0000313,ORD000183,PROD00029,1,11992.13,0.05,11392.52,1708.78,40.0
ITEM0000314,ORD000184,PROD00247,1,3675.45,0.0,3675.45,1956.57,40.0
