location_id,city,state,region,postal_code
LOC0049,Madurai,Tamil Nadu,South,625031
LOC0050,Madurai,Tamil Nadu,South,625041
LOC0051,Kochi,Kerala,South,682001
LOC0052,Kochi,Kerala,South,682011
LOC0053,Kochi,Kerala,South,682021
LOC0054,Kochi,Kerala,South,682031
LOC0055,Kochi,Kerala,South,682041
LOC0056,Jaipur,Rajasthan,North,302001
LOC0057,Jaipur,Rajasthan,North,302011
LOC0058,Jaipur,Rajasthan,North,302021
LOC0059,Jaipur,Rajasthan,North,302031
LOC0060,Jaipur,Rajasthan,North,302041
LOC0061,Lucknow,Uttar Pradesh,North,226001
LOC0062,Lucknow,Uttar Pradesh,North,226011
LOC0063,Lucknow,Uttar Pradesh,North,226021
LOC0064,Lucknow,Uttar Pradesh,North,226031
LOC0065,Lucknow,Uttar Pradesh,North,226041
LOC0066,Chandigarh,Punjab,North,160017
LOC0067,Chandigarh,Punjab,North,160027
LOC0068,Chandigarh,Punjab,North,160037
LOC0069,Chandigarh,Punjab,North,160047
LOC0070,Chandigarh,Punjab,North,160057
LOC0071,Indore,Madhya Pradesh,Central,452001
LOC0072,Indore,Madhya Pradesh,Central,452011
LOC0073,Indore,Madhya Pradesh,Central,452021
LOC0074,Indore,Madhya Pradesh,Central,452031
LOC0075,Indore,Madhya Pradesh,Central,452041
LOC0076,Nagpur,Maharashtra,West,440001
LOC0077,Nagpur,Maharashtra,West,440011
LOC0078,Nagpur,Maharashtra,West,440021
LOC0079,Nagpur,Maharashtra,West,440031
LOC0080,Nagpur,Maharashtra,West,440041
LOC0081,Surat,Gujarat,West,395001
LOC0082,Surat,Gujarat,West,395011
LOC0083,Surat,Gujarat,West,395021
LOC0084,Surat,Gujarat,West,395031
LOC0085,Surat,Gujarat,West,395041
LOC0086,Visakhapatnam,Andhra Pradesh,South,530001
LOC0087,Visakhapatnam,Andhra Pradesh,South,530011
LOC0088,Visakhapatnam,Andhra Pradesh,South,530021
LOC0089,Visakhapatnam,Andhra Pradesh,South,530031
LOC0090,Visakhapatnam,Andhra Pradesh,South,530041
LOC0091,Bhopal,Madhya Pradesh,Central,462001
LOC0092,Bhopal,Madhya Pradesh,Central,462011
LOC0093,Bhopal,Madhya Pradesh,Central,462021
LOC0094,Bhopal,Madhya Pradesh,Central,462031
LOC0095,Bhopal,Madhya Pradesh,Central,462041
LOC0096,Patna,Bihar,East,800001
LOC0097,Patna,Bihar,East,800011
LOC0098,Patna,Bihar,East,800021
LOC0099,Patna,Bihar,East,800031
LOC0100,Patna,Bihar,East,800041
LOC0101,Vadodara,Gujarat,West,390001
LOC0102,Vadodara,Gujarat,West,390011
LOC0103,Vadodara,Gujarat,West,390021
LOC0104,Vadodara,Gujarat,West,390031
LOC0105,Vadodara,Gujarat,West,390041
LOC0106,Ludhiana,Punjab,North,141001
LOC0107,Ludhiana,Punjab,North,141011
LOC0108,Ludhiana,Punjab,North,141021
LOC0109,Ludhiana,Punjab,North,141031
LOC0110,Ludhiana,Punjab,North,141041
LOC0111,Agra,Uttar Pradesh,North,282001
LOC0112,Agra,Uttar Pradesh,North,282011
LOC0113,Agra,Uttar Pradesh,North,282021
LOC0114,Agra,Uttar Pradesh,North,282031
LOC0115,Agra,Uttar Pradesh,North,282041
LOC0116,Nashik,Maharashtra,West,422001
LOC0117,Nashik,Maharashtra,West,422011
LOC0118,Nashik,Maharashtra,West,422021
LOC0119,Nashik,Maharashtra,West,422031
LOC0120,Nashik,Maharashtra,West,422041
LOC0121,Thiruvananthapuram,Kerala,South,695001
LOC0122,Thiruvananthapuram,Kerala,South,695011
LOC0123,Thiruvananthapuram,Kerala,South,695021
LOC0124,Thiruvananthapuram,Kerala,South,695031
LOC0125,Thiruvananthapuram,Kerala,South,695041
LOC0126,Guwahati,Assam,North East,781001
LOC0127,Guwahati,Assam,North East,781011
LOC0128,Guwahati,Assam,North East,781021
LOC0129,Guwahati,Assam,North East,781031
LOC0130,Guwahati,Assam,North East,781041
LOC0131,Bhubaneswar,Odisha,East,751001
LOC0132,Bhubaneswar,Odisha,East,751011
LOC0133,Bhubaneswar,Odisha,East,751021
LOC0134,Bhubaneswar,Odisha,East,751031
LOC0135,Bhubaneswar,Odisha,East,751041
LOC0136,Dehradun,Uttarakhand,North,248001
LOC0137,Dehradun,Uttarakhand,North,248011
LOC0138,Dehradun,Uttarakhand,North,248021
LOC0139,Dehradun,Uttarakhand,North,248031
LOC0140,Dehradun,Uttarakhand,North,248041
LOC0141,Mysuru,Karnataka,South,570001
LOC0142,Mysuru,Karnataka,South,570011
LOC0143,Mysuru,Karnataka,South,570021
LOC0144,Mysuru,Karnataka,South,570031
LOC0145,Mysuru,Karnataka,South,570041
LOC0146,Varanasi,Uttar Pradesh,North,221001
LOC0147,Varanasi,Uttar Pradesh,North,221011
LOC0148,Varanasi,Uttar Pradesh,North,221021
LOC0149,Varanasi,Uttar Pradesh,North,221031
LOC0150,Varanasi,Uttar Pradesh,North,221041
